Time [sec]		Acceleration [mm/sec2]
     0.000		          -0.200
     0.020		          -0.200
     0.040		          -0.200
     0.060		          -0.200
     0.080		          -0.300
     0.100		          -0.200
     0.120		          -0.300
     0.140		          -0.200
     0.160		          -0.300
     0.180		          -0.200
     0.200		          -0.300
     0.220		          -0.200
     0.240		          -0.300
     0.260		          -0.200
     0.280		          -0.300
     0.300		          -0.200
     0.320		          -0.300
     0.340		          -0.200
     0.360		          -0.300
     0.380		          -0.300
     0.400		          -0.300
     0.420		          -0.300
     0.440		          -0.300
     0.460		          -0.300
     0.480		          -0.300
     0.500		          -0.300
     0.520		          -0.300
     0.540		          -0.300
     0.560		          -0.300
     0.580		          -0.300
     0.600		          -0.300
     0.620		          -0.300
     0.640		          -0.300
     0.660		          -0.300
     0.680		          -0.300
     0.700		          -0.300
     0.720		          -0.300
     0.740		          -0.300
     0.760		          -0.300
     0.780		          -0.300
     0.800		          -0.300
     0.820		          -0.300
     0.840		          -0.300
     0.860		          -0.300
     0.880		          -0.300
     0.900		          -0.200
     0.920		          -0.300
     0.940		          -0.200
     0.960		          -0.300
     0.980		          -0.200
     1.000		          -0.300
     1.020		          -0.200
     1.040		          -0.300
     1.060		          -0.200
     1.080		          -0.300
     1.100		          -0.200
     1.120		          -0.300
     1.140		          -0.200
     1.160		          -0.300
     1.180		          -0.200
     1.200		          -0.200
     1.220		          -0.200
     1.240		          -0.200
     1.260		          -0.200
     1.280		          -0.200
     1.300		          -0.200
     1.320		          -0.200
     1.340		          -0.200
     1.360		          -0.200
     1.380		          -0.100
     1.400		          -0.200
     1.420		          -0.100
     1.440		          -0.200
     1.460		          -0.100
     1.480		          -0.200
     1.500		          -0.100
     1.520		          -0.200
     1.540		          -0.100
     1.560		          -0.200
     1.580		          -0.100
     1.600		          -0.100
     1.620		          -0.100
     1.640		          -0.100
     1.660		          -0.100
     1.680		          -0.100
     1.700		          -0.100
     1.720		          -0.100
     1.740		           0.000
     1.760		          -0.100
     1.780		           0.000
     1.800		          -0.100
     1.820		           0.000
     1.840		          -0.100
     1.860		           0.000
     1.880		          -0.100
     1.900		           0.000
     1.920		           0.000
     1.940		           0.000
     1.960		           0.000
     1.980		           0.000
     2.000		           0.000
     2.020		           0.000
     2.040		           0.000
     2.060		           0.000
     2.080		           0.000
     2.100		           0.100
     2.120		           0.000
     2.140		           0.100
     2.160		           0.000
     2.180		           0.100
     2.200		           0.000
     2.220		           0.100
     2.240		           0.000
     2.260		           0.100
     2.280		           0.000
     2.300		           0.100
     2.320		           0.100
     2.340		           0.100
     2.360		           0.100
     2.380		           0.100
     2.400		           0.100
     2.420		           0.100
     2.440		           0.100
     2.460		           0.100
     2.480		           0.100
     2.500		           0.100
     2.520		           0.100
     2.540		           0.100
     2.560		           0.100
     2.580		           0.100
     2.600		           0.100
     2.620		           0.100
     2.640		           0.100
     2.660		           0.100
     2.680		           0.100
     2.700		           0.100
     2.720		           0.100
     2.740		           0.100
     2.760		           0.100
     2.780		           0.100
     2.800		           0.100
     2.820		           0.100
     2.840		           0.100
     2.860		           0.100
     2.880		           0.100
     2.900		           0.100
     2.920		           0.100
     2.940		           0.100
     2.960		           0.100
     2.980		           0.100
     3.000		           0.100
     3.020		           0.100
     3.040		           0.100
     3.060		           0.100
     3.080		           0.100
     3.100		           0.100
     3.120		           0.100
     3.140		           0.100
     3.160		           0.100
     3.180		           0.100
     3.200		           0.100
     3.220		           0.100
     3.240		           0.000
     3.260		           0.100
     3.280		           0.000
     3.300		           0.100
     3.320		           0.000
     3.340		           0.100
     3.360		           0.000
     3.380		           0.100
     3.400		           0.000
     3.420		           0.100
     3.440		           0.000
     3.460		           0.000
     3.480		           0.000
     3.500		           0.000
     3.520		           0.000
     3.540		           0.000
     3.560		           0.000
     3.580		           0.000
     3.600		           0.000
     3.620		           0.000
     3.640		           0.000
     3.660		           0.000
     3.680		           0.000
     3.700		           0.000
     3.720		           0.000
     3.740		           0.000
     3.760		           0.000
     3.780		           0.000
     3.800		           0.000
     3.820		           0.000
     3.840		          -0.100
     3.860		           0.000
     3.880		          -0.100
     3.900		           0.000
     3.920		          -0.100
     3.940		           0.000
     3.960		          -0.100
     3.980		          -0.100
     4.000		          -0.100
     4.020		          -0.100
     4.040		          -0.100
     4.060		          -0.100
     4.080		          -0.100
     4.100		          -0.100
     4.120		          -0.100
     4.140		          -0.100
     4.160		          -0.100
     4.180		          -0.100
     4.200		          -0.100
     4.220		          -0.100
     4.240		          -0.100
     4.260		          -0.100
     4.280		          -0.100
     4.300		          -0.100
     4.320		           0.000
     4.340		          -0.100
     4.360		           0.000
     4.380		          -0.100
     4.400		           0.000
     4.420		          -0.100
     4.440		           0.000
     4.460		          -0.100
     4.480		           0.000
     4.500		          -0.100
     4.520		           0.000
     4.540		          -0.100
     4.560		           0.000
     4.580		          -0.100
     4.600		           0.000
     4.620		          -0.100
     4.640		           0.100
     4.660		          -0.100
     4.680		           0.100
     4.700		          -0.100
     4.720		           0.100
     4.740		          -0.100
     4.760		           0.100
     4.780		          -0.100
     4.800		           0.200
     4.820		          -0.100
     4.840		           0.200
     4.860		          -0.100
     4.880		           0.200
     4.900		           0.000
     4.920		           0.200
     4.940		           0.000
     4.960		           0.100
     4.980		           0.400
     5.000		          -2.900
